ID,PO No,Supplier ID,PO Date,ITEM NO,Quantity,INVENTORY ID,PO DateReceived,PO DateRequired,PO DateRevised,QtyReceived,ShipBy,SpecialRequest,POLineClosed,Scanned,Tag,ShipLocalle,UnitCost
170676,35566,Ltcp137,24-Oct-25,1,1,CS1152,29-Oct-25,27-Oct-25,,1,,,-1,,,Main Plant,0
170677,35566,Ltcp137,24-Oct-25,2,1,STAIN REDUCER,29-Oct-25,27-Oct-25,,1,,,-1,,,Main Plant,0
170678,35566,Ltcp137,24-Oct-25,3,10,528802,29-Oct-25,27-Oct-25,,10,,,-1,,,Main Plant,0
170679,35566,Ltcp137,24-Oct-25,4,1,528620,29-Oct-25,27-Oct-25,,1,,,-1,,,Main Plant,0
170680,35566,Ltcp137,24-Oct-25,5,2,70131,29-Oct-25,27-Oct-25,,2,,,-1,,,Main Plant,0
170681,35566,Ltcp137,24-Oct-25,6,1,528405,29-Oct-25,27-Oct-25,,1,,,-1,,,Main Plant,0
170682,35566,Ltcp137,24-Oct-25,7,1,70138,29-Oct-25,27-Oct-25,,1,,,-1,,,Main Plant,0
170683,35566,Ltcp137,24-Oct-25,8,1,528111,29-Oct-25,27-Oct-25,,1,,,-1,,,Main Plant,0
170684,35566,Ltcp137,24-Oct-25,9,2,528634,29-Oct-25,27-Oct-25,,2,,,-1,,,Main Plant,0
170685,35566,Ltcp137,24-Oct-25,10,1,Gentek 567,29-Oct-25,27-Oct-25,,1,,,-1,,,Main Plant,0
170686,35566,Ltcp137,24-Oct-25,11,1,KV Solid Cream,29-Oct-25,27-Oct-25,,1,,,-1,,,Main Plant,0
170687,35566,Ltcp137,24-Oct-25,12,1,Gentek 5H6,29-Oct-25,27-Oct-25,,1,,,-1,,,Main Plant,0
170688,35566,Ltcp137,24-Oct-25,13,1,Gentek P31,29-Oct-25,27-Oct-25,,1,,,-1,,,Main Plant,0
170689,35566,Ltcp137,24-Oct-25,14,2,Gentek 542,29-Oct-25,27-Oct-25,,2,,,-1,,,Main Plant,0
170676,35566,Ltcp137,24-Oct-25,1,1,CS1152,29-Oct-25,27-Oct-25,,1,,,-1,,,Main Plant,0
170677,35566,Ltcp137,24-Oct-25,2,1,STAIN REDUCER,29-Oct-25,27-Oct-25,,1,,,-1,,,Main Plant,0
170678,35566,Ltcp137,24-Oct-25,3,10,528802,29-Oct-25,27-Oct-25,,10,,,-1,,,Main Plant,0
170679,35566,Ltcp137,24-Oct-25,4,1,528620,29-Oct-25,27-Oct-25,,1,,,-1,,,Main Plant,0
170680,35566,Ltcp137,24-Oct-25,5,2,70131,29-Oct-25,27-Oct-25,,2,,,-1,,,Main Plant,0
170681,35566,Ltcp137,24-Oct-25,6,1,528405,29-Oct-25,27-Oct-25,,1,,,-1,,,Main Plant,0
170682,35566,Ltcp137,24-Oct-25,7,1,70138,29-Oct-25,27-Oct-25,,1,,,-1,,,Main Plant,0
170683,35566,Ltcp137,24-Oct-25,8,1,528111,29-Oct-25,27-Oct-25,,1,,,-1,,,Main Plant,0
170684,35566,Ltcp137,24-Oct-25,9,2,528634,29-Oct-25,27-Oct-25,,2,,,-1,,,Main Plant,0
170685,35566,Ltcp137,24-Oct-25,10,1,Gentek 567,29-Oct-25,27-Oct-25,,1,,,-1,,,Main Plant,0
170686,35566,Ltcp137,24-Oct-25,11,1,KV Solid Cream,29-Oct-25,27-Oct-25,,1,,,-1,,,Main Plant,0
170687,35566,Ltcp137,24-Oct-25,12,1,Gentek 5H6,29-Oct-25,27-Oct-25,,1,,,-1,,,Main Plant,0
170688,35566,Ltcp137,24-Oct-25,13,1,Gentek P31,29-Oct-25,27-Oct-25,,1,,,-1,,,Main Plant,0
170689,35566,Ltcp137,24-Oct-25,14,2,Gentek 542,29-Oct-25,27-Oct-25,,2,,,-1,,,Main Plant,0
171104,35648,Ltcp137,10/29/2025,1,1,CS1116,10/29/2025,10/29/2025,,1,,,-1,,,Main Plant,0
171105,35648,Ltcp137,10/29/2025,2,1,CS1164,10/29/2025,10/29/2025,,1,,,-1,,,Main Plant,0
171106,35648,Ltcp137,10/29/2025,3,20,528802,10/29/2025,10/29/2025,,20,,,-1,,,Main Plant,0
171107,35648,Ltcp137,10/29/2025,4,1,70024,10/29/2025,10/29/2025,,1,,,-1,,,Main Plant,0
171108,35648,Ltcp137,10/29/2025,5,2,528202,10/29/2025,10/29/2025,,2,,,-1,,,Main Plant,0
171109,35648,Ltcp137,10/29/2025,6,1,528210,10/29/2025,10/29/2025,,1,,,-1,,,Main Plant,0
171110,35648,Ltcp137,10/29/2025,7,1,528219,10/29/2025,10/29/2025,,1,,,-1,,,Main Plant,0
171111,35648,Ltcp137,10/29/2025,8,1,528111,10/29/2025,10/29/2025,,1,,,-1,,,Main Plant,0
171112,35648,Ltcp137,10/29/2025,9,4,528634,10/29/2025,10/29/2025,,4,,,-1,,,Main Plant,0
171113,35648,Ltcp137,10/29/2025,10,1,528616,10/29/2025,10/29/2025,,1,,,-1,,,Main Plant,0
171114,35648,Ltcp137,10/29/2025,11,3,528021,10/29/2025,10/29/2025,,3,,,-1,,,Main Plant,0
171115,35648,Ltcp137,10/29/2025,12,1,585022,10/29/2025,10/29/2025,,1,,,-1,,,Main Plant,0
171116,35648,Ltcp137,10/29/2025,13,3,400050,10/29/2025,10/29/2025,,3,,,-1,,,Main Plant,0
171117,35648,Ltcp137,10/29/2025,14,1,Gentek 5H3,10/29/2025,10/29/2025,,1,,,-1,,,Main Plant,0
171118,35648,Ltcp137,10/29/2025,15,1,Gentek 509,10/29/2025,10/29/2025,,1,,,-1,,,Main Plant,0
171119,35648,Ltcp137,10/29/2025,16,1,Gentek 513,10/29/2025,10/29/2025,,1,,,-1,,,Main Plant,0
171120,35648,Ltcp137,10/29/2025,17,1,Gentek 5H2,10/29/2025,10/29/2025,,1,,,-1,,,Main Plant,0
171121,35648,Ltcp137,10/29/2025,18,1,NC0024L3.2-CLEARCOAT  30 %,10/29/2025,10/29/2025,,1,,,-1,,,Main Plant,0
171373,35689,Ltcp137,10/31/2025,1,1,CS1116,11/3/2025,10/31/2025,,1,,,-1,,,Main Plant,0
171374,35689,Ltcp137,10/31/2025,2,1,CS0444,11/3/2025,10/31/2025,,1,,,-1,,,Main Plant,0
171375,35689,Ltcp137,10/31/2025,3,1,CS1164,11/3/2025,10/31/2025,,1,,,-1,,,Main Plant,0
171376,35689,Ltcp137,10/31/2025,4,20,528802,11/3/2025,10/31/2025,,20,,,-1,,,Main Plant,0
171377,35689,Ltcp137,10/31/2025,5,1,70024,11/3/2025,10/31/2025,,1,,,-1,,,Main Plant,0
171378,35689,Ltcp137,10/31/2025,6,2,Gentek 554,11/3/2025,10/31/2025,,2,,,-1,,,Main Plant,0
171379,35689,Ltcp137,10/31/2025,7,2,528202,11/3/2025,10/31/2025,,2,,,-1,,,Main Plant,0
171380,35689,Ltcp137,10/31/2025,8,3,528210,11/3/2025,10/31/2025,,3,,,-1,,,Main Plant,0
171381,35689,Ltcp137,10/31/2025,9,1,70138,11/3/2025,10/31/2025,,1,,,-1,,,Main Plant,0
171382,35689,Ltcp137,10/31/2025,10,1,528219,11/3/2025,10/31/2025,,1,,,-1,,,Main Plant,0
